Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
45.14,2705966.62658963,17.04283751,2.37929241,6.97561985,2705993.02433939,,,,
45.75,2705965.17523581,17.76755204,2.48046760,7.28835003,2705992.71160547,,,,
46.36,2705963.66216639,18.52308302,2.58594500,7.61437850,2705992.38557292,,,,
46.97,2705962.08475715,19.31074078,2.69590755,7.95427075,2705992.04567623,,,,
47.58,2705960.44027225,20.13189135,2.81054596,8.30861629,2705991.69132586,,,,
48.19,2705958.72585956,20.98795886,2.93005905,8.67802971,2705991.32190717,,,,
48.80,2705956.93854566,21.88042795,3.05465409,9.06315173,2705990.93677942,,,,
49.41,2705955.07523071,22.81084641,3.18454717,9.46465031,2705990.53527460,,,,
50.02,2705953.13268309,23.78082783,3.31996356,9.88322181,2705990.11669630,,,,
50.63,2705951.10753376,24.79205440,3.46113811,10.31959222,2705989.68031849,,,,
51.24,2705948.99627043,25.84627982,3.60831566,10.77451838,2705989.22538429,,,,
51.85,2705946.79523150,26.94533236,3.76175145,11.24878930,2705988.75110460,,,,
52.46,2705944.50059967,28.09111800,3.92171157,11.74322756,2705988.25665680,,,,
53.07,2705942.10839535,29.28562376,4.08847344,12.25869071,2705987.74118327,,,,
53.68,2705939.61446976,30.53092114,4.26232626,12.79607276,2705987.20378992,,,,
54.29,2705937.01449772,31.82916968,4.44357152,13.35630574,2705986.64354465,,,,
54.90,2705934.30397016,33.18262074,4.63252355,13.94036128,2705986.05947573,,,,
55.51,2705931.47818631,34.59362140,4.82951002,14.54925236,2705985.45057009,,,,
56.12,2705928.53224557,36.06461850,5.03487253,15.18403501,2705984.81577160,,,,
56.73,2705925.46103894,37.59816289,5.24896723,15.84581016,2705984.15397922,,,,
57.34,2705922.25924028,39.19691387,5.47216537,16.53572556,2705983.46404507,,,,
57.95,2705918.92129696,40.86364377,5.70485402,17.25497774,2705982.74477249,,,,
58.56,2705915.44142032,42.60124279,5.94743668,18.00481413,2705981.99491391,,,,
59.17,2705911.81357561,44.41272395,6.20033400,18.78653517,2705981.21316873,,,,
59.78,2705908.03147151,46.30122838,6.46398454,19.60149661,2705980.39818104,,,,
60.39,2705904.08854927,48.27003069,6.73884547,20.45111183,2705979.54853725,,,,
61.00,2705899.97797129,50.32254471,7.02539340,21.33685431,2705978.66276371,,,,
61.61,2705895.69260932,52.46232935,7.32412523,22.26026017,2705977.73932406,,,,
62.22,2705891.22503208,54.69309480,7.63555894,23.22293083,2705976.77661665,,,,
62.83,2705886.56749239,57.01870894,7.96023454,24.22653581,2705975.77297169,,,,
